simTrack 0.031527 0.001693 0.146334 4.418970 -8.967553 4.920586 -1 pt=9.997215 trkIdx=0 algo=13
simHit -61.465767 12.512247 7.522096 62.726365 0.119634 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit -65.480736 13.488750 8.150270 66.855614 0.121609 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit -78.189217 16.713478 10.145578 79.955575 0.126552 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
simHit -82.989151 17.985361 10.904716 84.915678 0.128068 0.014879 0.000033 0.000000 0.000000 0.000000 0.000000
simHit -96.036270 21.590309 12.969020 98.433260 0.131376 0.014862 0.000033 0.000000 0.000000 0.000000 0.000000
simHit -103.389534 23.719496 14.137774 106.075493 0.132889 0.014789 0.000033 0.000000 0.000000 0.000000 0.000000
simTrack 0.034377 0.001823 1.474834 -2.136241 9.772793 -2.125786 1 pt=10.003550 trkIdx=0 algo=4
simHit -2.065909 3.668022 -4.345503 4.209794 -0.903986 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -1.544010 7.362523 -0.124657 7.522680 -0.016570 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -2.134600 10.188444 -0.737764 10.409655 -0.070814 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -4.779851 23.476439 -3.597710 23.958091 -0.149608 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -6.821048 34.567570 -6.002170 35.234125 -0.169538 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -7.712725 39.671654 -7.087632 40.414431 -0.174487 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -9.478131 50.367535 -9.386969 51.251571 -0.182146 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -11.049940 60.647110 -11.631231 61.645544 -0.187577 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit -12.378015 70.042198 -13.655177 71.127525 -0.190821 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit -13.436654 78.127579 -15.393902 79.274600 -0.192984 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
simHit -14.204115 84.390160 -16.740669 85.577193 -0.194394 0.014879 0.000033 0.000000 0.000000 0.000000 0.000000
simHit -15.633403 97.239784 -19.498766 98.488471 -0.196709 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
