simTrack 0.001181 -0.001041 0.001408 -6.028579 7.982378 -2.452069 1 pt=10.003106 trkIdx=1 algo=4
simHit 10.140940 94.043182 -5.037838 94.588365 -0.053236 0.014862 0.000033 0.000000 0.000000 0.000000 0.000000
simHit 10.817300 109.395607 -5.860368 109.929126 -0.053285 0.014789 0.000033 0.000000 0.000000 0.000000 0.000000
simTrack 0.001401 0.000517 0.009241 8.610433 -5.076364 -1.250852 -1 pt=9.995450 trkIdx=0 algo=4
simHit 3.980618 -2.331300 -0.568011 4.613055 -0.122822 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 6.497393 -3.791722 -0.932794 7.522850 -0.123679 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 8.984570 -5.223980 -1.292747 10.392904 -0.124069 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 20.447790 -11.686701 -2.929507 23.551881 -0.124067 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 30.584288 -17.206505 -4.388234 35.092199 -0.124725 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 35.206272 -19.663191 -5.028773 40.325211 -0.124384 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 45.011517 -24.756525 -6.419191 51.370440 -0.124636 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 51.323421 -27.952032 -7.325660 58.441507 -0.125024 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit 59.833416 -32.156143 -8.517536 67.926837 -0.125067 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit 67.189003 -35.701324 -9.544159 76.085128 -0.125114 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
simHit 78.663193 -41.060017 -11.139581 88.734564 -0.125211 0.014879 0.000033 0.000000 0.000000 0.000000 0.000000
simHit 86.995605 -44.824661 -12.286624 97.864629 -0.125220 0.014862 0.000033 0.000000 0.000000 0.000000 0.000000
simHit 95.131813 -48.400288 -13.403810 106.736356 -0.125251 0.014789 0.000033 0.000000 0.000000 0.000000 0.000000
simTrack -0.001042 -0.000287 -0.009829 -9.806756 1.999346 -5.272000 1 pt=10.008489 trkIdx=1 algo=4
simHit -4.054247 0.835997 -2.189807 4.139543 -0.506996 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
